,name,latitude,longitude,country,state
99,Sigüenza,41.0680324,-2.6405659,ES,Castile-La Mancha
100,Colmenar Viejo,40.6587726,-3.7659722,ES,Community of Madrid
101,la Seu d'Urgell,42.3575723,1.4560067,ES,Catalonia
102,Morón de la Frontera,37.1215305,-5.4559583,ES,Andalusia
103,Jerez de los Caballeros,38.3201991,-6.7713389,ES,Extremadura
104,Antequera,37.0183652,-4.5596649,ES,Andalusia
105,Torrox,36.760744,-3.9523663,ES,Andalusia
106,Güeñes,43.2084755,-3.0949345,ES,Autonomous Community of the Basque Country
107,Coria,39.9831574,-6.5366803,ES,Extremadura
108,Águilas,37.4099628,-1.5804922,ES,Region of Murcia
109,Zumarraga,43.0859968,-2.3140925,ES,Autonomous Community of the Basque Country
110,Tazacorte,28.642858,-17.9326028,ES,Canary Islands
111,Robledo de Chavela,40.5009201,-4.2380999,ES,Community of Madrid
112,Maspalomas,27.7527731,-15.5970832,ES,Canary Islands
113,Teruel,40.3436719,-1.1081939,ES,Aragon
114,Lorca,37.6715679,-1.6988053,ES,Region of Murcia
115,Cañizares,40.5186403,-2.1913136,ES,Castile-La Mancha
116,Valdepeñas,38.7594573,-3.3847392,ES,Castile-La Mancha
117,Porreres,39.5168891,3.0227517,ES,Balearic Islands
118,Segovia,40.9502159,-4.1241494,ES,Castile and León
119,Aranjuez,40.03221,-3.6039604,ES,Community of Madrid
120,Salamanca,40.9651572,-5.6640182,ES,Castile and León
121,San Clemente,39.4037093,-2.4274052,ES,Castile-La Mancha
122,Oviedo,43.3604218,-5.8450534,ES,Asturias
123,Andújar,38.0392362,-4.0505603,ES,Andalusia
124,Grazalema,36.7583892,-5.366074,ES,Andalusia
125,Buitrago del Lozoya,40.9953477,-3.6350501,ES,Community of Madrid
126,Cazalla de la Sierra,37.932188,-5.7595396,ES,Andalusia
127,Calamocha,40.9198824,-1.299434,ES,Aragon
128,Albacete,38.9950921,-1.8559154,ES,Castile-La Mancha
129,Chinchilla de Montearagón,38.9196837,-1.7263326,ES,Castile-La Mancha
130,Llerena,38.2378976,-6.0149901,ES,Extremadura
131,Aranda de Duero,41.6715067,-3.6851172,ES,Castile and León
132,Plasencia,40.029921,-6.090168,ES,Extremadura
133,Utiel,39.5680838,-1.2051778,ES,Valencian Community
134,Fisterra,42.9064771,-9.263789,ES,Galicia
135,Zamora,41.5056574,-5.7448039,ES,Castile and León
136,San Pablo de los Montes,39.5409163,-4.3316718,ES,Castile-La Mancha
137,Capdepera,39.7023418,3.4321679,ES,Balearic Islands
138,Huércal-Overa,37.3895979,-1.9450652,ES,Andalusia
139,Valladolid,41.6521328,-4.728562,ES,Castile and León
140,Soria,41.7633842,-2.4642041,ES,Castile and León
141,Alicante,38.3436365,-0.4881708,ES,Valencian Community
142,Elgoibar,43.2143558,-2.4168588,ES,Autonomous Community of the Basque Country
143,O Cabo Vilán,43.1595064,-9.2108349,ES,Galicia
144,Cieza,43.2230443,-4.124873387159046,ES,Cantabria
145,Ávila,40.656478,-4.7002172,ES,Castile and León
146,Ciudad Real,38.9854201,-3.9285138,ES,Castile-La Mancha
147,la Molina,42.3427392,1.9562059,ES,Catalonia
148,Valencia,39.4697065,-0.3763353,ES,Valencian Community
149,Ceuta,35.89442195,-5.355817352394269,ES,Ceuta
150,Loja,37.1664839,-4.1496374,ES,Andalusia
151,San Sebastián de la Gomera,28.0910382,-17.1110077,ES,Canary Islands
152,Ponferrada,42.5454124,-6.5938719,ES,Castile and León
153,Cuenca,40.0681156,-2.1348241,ES,Castile-La Mancha
154,Izana,41.672584,-2.6099611,ES,Castile and León
155,Quintanar de la Orden,39.5908125,-3.043053,ES,Castile-La Mancha
156,El Puertu de Ḷḷeitariegos,42.9988451,-6.4185438,ES,Asturias
157,Cáceres,39.4745175,-6.3716761,ES,Extremadura
158,Ciutadella,40.0006767,3.8355966,ES,Balearic Islands
159,Sineu,39.64314,3.0116111,ES,Balearic Islands
160,Son Servera,39.6222728,3.3605983,ES,Balearic Islands
161,Port de Pollença,39.908013,3.0827842,ES,Balearic Islands
162,Pollença,39.8792073,3.0157098,ES,Balearic Islands
163,Finca La Palma,36.7217253,-4.4710117,ES,Andalusia
164,Banyalbufar,39.6874544,2.5147715,ES,Balearic Islands
165,Manacor,39.551392,3.2382642,ES,Balearic Islands
166,Llucmajor,39.4439046,2.840129,ES,Balearic Islands
167,Santanyí,39.3543115,3.1294799,ES,Balearic Islands
168,Petra,39.6134574,3.1128071,ES,Balearic Islands
169,Artà,39.6950088,3.3506343,ES,Balearic Islands
170,Santa Maria del Camí,39.6479453,2.7779083,ES,Balearic Islands
171,Binissalem,39.6889279,2.8420532,ES,Balearic Islands
172,es Mercadal,40.0075893,4.1124562,ES,Balearic Islands
173,Yaiza,28.9380273,-13.768305959275153,ES,Canary Islands
174,Tías,28.96232275,-13.663799108863206,ES,Canary Islands
175,Puntagorda,28.7655011,-17.9797433,ES,Canary Islands
176,Arure,28.1344077,-17.3195646,ES,Canary Islands
177,La Antigua,42.1791551,-5.6899182,ES,Castile and León
178,Lomo del Balo,28.1188395,-17.3074564,ES,Canary Islands
179,Formentera,38.7063909,1.4335265588311943,ES,Balearic Islands
180,Ibiza,38.974390099999994,1.4197463178515335,ES,Balearic Islands
181,Sant Joan de Labritja,39.0761278,1.5091732,ES,Balearic Islands
182,Hermigua,28.1629611,-17.1984917,ES,Canary Islands
183,Tijarafe,28.7129549,-17.9568256,ES,Canary Islands
184,Agulo,28.1881791,-17.1945669,ES,Canary Islands
185,Sant Antoni de Portmany,38.9914471,1.3542327,ES,Balearic Islands
186,Haría,29.1458859,-13.5001038,ES,Canary Islands
187,Arico,28.19052695,-16.497760004636767,ES,Canary Islands
188,La Oliva,28.6487751,-13.9225701,ES,Canary Islands
189,Fuencaliente,38.405028,-4.3049563,ES,Castile-La Mancha
190,Tinajo,29.066738,-13.676179,ES,Canary Islands
191,Adeje,28.1219416,-16.7241893,ES,Canary Islands
192,El Paso,28.6514036,-17.8799155,ES,Canary Islands
193,San Andrés y Sauces,28.7810668,-17.793202882087616,ES,Canary Islands
194,San Juan de la Rambla,28.35197555,-16.623953061265908,ES,Canary Islands
195,La Graciosa,29.253779700000003,-13.506207973612284,ES,Canary Islands
196,Balsareny,41.8631839,1.8755997,ES,Catalonia
197,Valls,41.2835355,1.2473637,ES,Catalonia
198,Teror,28.0590002,-15.5475653,ES,Canary Islands
199,El Pinar de Campoamor,37.9060659,-0.7496717,ES,Valencian Community
200,Tacoronte,28.4805316,-16.4137605,ES,Canary Islands
201,Tejeda,27.9949917,-15.615382,ES,Canary Islands
202,Moià,41.8130391,2.0978412,ES,Catalonia
203,Berga,42.1011456,1.8454758,ES,Catalonia
204,Pontons,41.4138036,1.5140429,ES,Catalonia
205,Valverde,27.809685,-17.9151468,ES,Canary Islands
206,Agüimes,27.9049541,-15.4445131,ES,Canary Islands
207,La Aldea de San Nicolás,27.9827393,-15.779715,ES,Canary Islands
208,Vega de San Mateo,28.0095796,-15.5325123,ES,Canary Islands
209,Alforja,41.2099763,0.9750606,ES,Catalonia
210,Vilafranca del Penedès,41.3463825,1.6995213,ES,Catalonia
211,Tarragona,41.1172364,1.2546057,ES,Catalonia
212,Agaete,28.1008499,-15.7023479,ES,Canary Islands
213,Prats de Lluçanès,42.0085421,2.0298689,ES,Catalonia
214,La Victoria de Acentejo,28.4347861,-16.4681748,ES,Canary Islands
215,Arucas,28.1184492,-15.5232237,ES,Canary Islands
216,San Andrés,27.7710565,-17.9558057,ES,Canary Islands
217,Sitges,41.2366707,1.8228136,ES,Catalonia
218,Candelaria,28.3546715,-16.3710091,ES,Canary Islands
219,Anaga,28.5317024,-16.208779605853138,ES,Canary Islands
220,Valleseco,28.0501609,-15.5744925,ES,Canary Islands
221,Espolla,42.3893146,2.9994355,ES,Catalonia
222,Amorebieta-Etxano,43.2201761,-2.7323154,ES,Autonomous Community of the Basque Country
223,Caldes de Montbui,41.632265,2.1676442,ES,Catalonia
224,Igualada,41.5790182,1.617346,ES,Catalonia
225,Amurrio,43.0510034,-2.9997847,ES,Autonomous Community of the Basque Country
226,Vilassar de Dalt,41.5163595,2.3592879,ES,Catalonia
227,Sant Pau de Segúries,42.2633408,2.366055,ES,Catalonia
228,Blanes,41.6756178,2.7932391,ES,Catalonia
229,Tona,41.8538039,2.2280115,ES,Catalonia
230,Bera,43.2813278,-1.6796472,ES,Navarre
231,Aretxabaleta,43.0359732,-2.5036785,ES,Autonomous Community of the Basque Country
232,Legazpi,43.051235,-2.3344403,ES,Autonomous Community of the Basque Country
233,Campdevànol,42.2230582,2.1680717,ES,Catalonia
234,Irun,43.3383176,-1.7888095,ES,Autonomous Community of the Basque Country
235,Figueres,42.2666314,2.9638434,ES,Catalonia
236,Villacarriedo,43.2306206,-3.8049489,ES,Cantabria
237,Forua,43.3329632,-2.6761163,ES,Autonomous Community of the Basque Country
238,Azpeitia,43.1838618,-2.2657422,ES,Autonomous Community of the Basque Country
239,Girona,41.9793006,2.8199439,ES,Catalonia
240,les Planes d'Hostoles,42.0565983,2.5384283,ES,Catalonia
241,Fogars de Montclús,41.74716075,2.4394273887762976,ES,Catalonia
242,Montserrat,39.3576494,-0.6031,ES,Valencian Community
243,Monistrol de Montserrat,41.6105028,1.8452698,ES,Catalonia
244,Maçanet de Cabrenys,42.3861179,2.7485579,ES,Catalonia
245,Castelló d'Empúries,42.2591074,3.0746425,ES,Catalonia
246,Castell d'Aro,41.8151092,3.0310571,ES,Catalonia
247,Sant Hilari Sacalm,41.8780822,2.5131751,ES,Catalonia
248,Sant Julià de Vilatorta,41.9219404,2.3240651,ES,Catalonia
249,Ramales de la Victoria,43.257411,-3.4646482,ES,Cantabria
250,la Vall de Bianya,42.24152075,2.4326305390037266,ES,Catalonia
251,EMD l'Estartit,42.0512172,3.1990824,ES,Catalonia
252,Planoles,42.3148273,2.1029743,ES,Catalonia
253,Segura,43.0090019,-2.2530011,ES,Autonomous Community of the Basque Country
254,Balmaseda,43.1940413,-3.1945492,ES,Autonomous Community of the Basque Country
255,Areso,43.0809215,-1.9510898,ES,Navarre
256,Mutriku,43.3071181,-2.3871098,ES,Autonomous Community of the Basque Country
257,Ordizia,43.0539687,-2.1795046,ES,Autonomous Community of the Basque Country
258,Elgeta,43.1367656,-2.4874683,ES,Autonomous Community of the Basque Country
259,San Felices de Buelna,43.26630875,-4.030329207737704,ES,Cantabria
260,Sopuerta,43.25481955,-3.170368427909917,ES,Autonomous Community of the Basque Country
261,Ferrol,43.4846862,-8.233162,ES,Galicia
262,Vilagarcía de Arousa,42.5947625,-8.7669178,ES,Galicia
263,Villablino,42.9388713,-6.3183421,ES,Castile and León
264,Becerreá,42.8544959,-7.1616043,ES,Galicia
265,Mazaricos,42.9364002,-8.9904506,ES,Galicia
266,Vega de Espinareda,42.7265754,-6.6544374,ES,Castile and León
267,O Páramo,42.84463,-7.4989815,ES,Galicia
268,Ribadeo,43.5361589,-7.0436775,ES,Galicia
269,Vilagarcía de Arousa,42.5947625,-8.7669178,ES,Galicia
270,Degaña,42.9406475,-6.5712537,ES,Asturias
271,Chandrexa de Queixa,42.259279899999996,-7.377615472322706,ES,Galicia
272,Sobrado,43.0404996,-8.02238,ES,Galicia
273,A Estrada,42.6880102,-8.4907139,ES,Galicia
274,Silleda,42.697981,-8.2466373,ES,Galicia
275,Vigo,42.2376602,-8.7247205,ES,Galicia
276,Cabrales,43.2678898,-4.8266084018751805,ES,Asturias
277,O Barco de Valdeorras,42.416462,-6.9843044,ES,Galicia
278,Vimianzo,43.1102989,-9.0327488,ES,Galicia
279,Burela,43.6606329,-7.3587521,ES,Galicia
280,Noia,42.7850763,-8.8877375,ES,Galicia
281,A Lama,42.3979831,-8.4412033,ES,Galicia
282,Tresviso,43.25713,-4.66813,ES,Cantabria
283,Pola de Somiedo / La Pola,43.0931497,-6.2572508,ES,Asturias
284,Cervantes,42.82700645,-6.961766504918908,ES,Galicia
285,Colunga,43.4851194,-5.2706728,ES,Asturias
286,Lugo,43.0118437,-7.5565749,ES,Galicia
287,As Pontes de García Rodríguez,43.4502183,-7.853109,ES,Galicia
288,Monterroso,42.7918646,-7.8357837,ES,Galicia
289,Boiro,42.6462941,-8.8858718,ES,Galicia
290,Mondoñedo,43.4296687,-7.3638814,ES,Galicia
291,Pedraza,41.1314254,-3.8111166,ES,Castile and León
292,Gotarrendura,40.8264524,-4.7409463,ES,Castile and León
293,Monforte de Lemos,42.5236693,-7.5096951,ES,Galicia
294,Morón de Almazán,41.414252,-2.4127325,ES,Castile and León
295,Palencia,42.0108856,-4.5328735,ES,Castile and León
296,Ucero,41.717188,-3.0512695,ES,Castile and León
297,Ribadavia,42.2880044,-8.1429521,ES,Galicia
298,Villaeles de Valdavia,42.5659809,-4.5838316,ES,Castile and León
299,Migueláñez,41.1217211,-4.3642121,ES,Castile and León
300,Coruña del Conde,41.7657004,-3.3905895,ES,Castile and León
301,O Rosal,41.936991,-8.8370358,ES,Galicia
302,A Cañiza,42.2136529,-8.2740414,ES,Galicia
303,Pedrosa del Príncipe,42.2496567,-4.1992265,ES,Castile and León
304,Allariz,42.1893161,-7.8019484,ES,Galicia
305,Lubia,41.6506282,-2.5063989,ES,Castile and León
306,Fresno de Cantespino,41.3685037,-3.4992092,ES,Castile and León
307,Muíños,41.9543796,-7.9847551,ES,Galicia
308,Cuéllar,41.3997643,-4.3150702,ES,Castile and León
309,Arévalo,41.0632758,-4.7198921,ES,Castile and León
310,San Rafael,40.7151766,-4.1923571,ES,Castile and León
311,La Riba de Escalote,41.3522649,-2.796383,ES,Castile and León
312,Ólvega,41.779562,-1.9843627,ES,Castile and León
313,Beariz,42.4661998,-8.2707274,ES,Galicia
314,Villamayor de los Montes,42.1059603,-3.76587,ES,Castile and León
315,Peñafiel,41.5975136,-4.1227931,ES,Castile and León
316,Folgoso do Courel,42.5882486,-7.1925449,ES,Galicia
317,Villadiego,42.5147918,-4.0107323,ES,Castile and León
318,Burgo de Osma-Ciudad de Osma,41.5868712,-3.0674254,ES,Castile and León
319,Sardón de Duero,41.6085193,-4.4339323,ES,Castile and León
320,Monterrubio de la Demanda,42.1491104,-3.1131226,ES,Castile and León
321,Muñotello,40.5418131,-5.0414952,ES,Castile and León
322,Aguilar de Campoo,42.7928369,-4.2605438,ES,Castile and León
323,Aldeanueva de la Serrezuela,41.4603172,-3.7796605,ES,Castile and León
324,Liceras,41.3797605,-3.2438097,ES,Castile and León
325,Fresno de Sayago,41.3184207,-5.9708098,ES,Castile and León
326,El Maíllo,40.5659979,-6.1801033,ES,Castile and León
327,Riaño,42.9756044,-5.0056656,ES,Castile and León
328,Verín,41.9406091,-7.4406032,ES,Galicia
329,Valencia de Don Juan,42.2936047,-5.5188832,ES,Castile and León
330,Pedrosillo de los Aires,40.7149387,-5.7050775,ES,Castile and León
331,Fuente el Sol,41.1763482,-4.9346829,ES,Castile and León
332,Villafáfila,41.8462843,-5.6146804,ES,Castile and León
333,Bustillo del Páramo,42.4413416,-5.7915737,ES,Castile and León
334,Zaorejas,40.7621748,-2.2017394,ES,Castile-La Mancha
335,Pozuelo de Tábara,41.7850818,-5.8949829,ES,Castile and León
336,El Barco de Ávila,40.3577409,-5.5231241,ES,Castile and León
337,Pedraza de Alba,40.7562378,-5.373362,ES,Castile and León
338,Cubillas de Rueda,42.6558903,-5.1756683,ES,Castile and León
339,Alcañices,41.6996962,-6.3471637,ES,Castile and León
340,Villarino de los Aires,41.2702654,-6.4681957,ES,Castile and León
341,Rueda,41.4129785,-4.9597533,ES,Castile and León
342,Bañobárez,40.8493325,-6.6127882,ES,Castile and León
343,Rivilla de Barajas,40.9019309,-4.9882631,ES,Castile and León
344,Navasfrías,40.2959784,-6.8192419,ES,Castile and León
345,Medina de Rioseco,41.8836792,-5.0433596,ES,Castile and León
346,Pastrana,40.4178968,-2.9225859,ES,Castile-La Mancha
347,Barbadillo,40.932821,-5.881979,ES,Castile and León
348,Fuentesaúco,41.2306008,-5.4964931,ES,Castile and León
349,Peñausende,41.2873276,-5.8667465,ES,Castile and León
350,A Gudiña,42.0605483,-7.1403516,ES,Galicia
351,Ocaña,39.9586665,-3.5007717,ES,Castile-La Mancha
352,Villalón de Campos,42.0984494,-5.0347132,ES,Castile and León
353,Santibáñez de Vidriales,42.0735273,-6.0150542,ES,Castile and León
354,Villadepera,41.5484196,-6.131714,ES,Castile and León
355,Astorga,42.4553555,-6.0529025,ES,Castile and León
356,Beteta,40.572657,-2.0759798,ES,Castile-La Mancha
357,Coreses,41.5485022,-5.6208725,ES,Castile and León
358,Valdemorillo,40.5016772,-4.0688878,ES,Community of Madrid
359,Brihuega,40.7592489,-2.8703477,ES,Castile-La Mancha
360,Hoyos,40.1707784,-6.7212412,ES,Extremadura
361,Pozuelo de Alarcón,40.4346528,-3.814834,ES,Community of Madrid
362,San Sebastián de los Reyes,40.5473698,-3.6260586,ES,Community of Madrid
363,Navalvillar de Ibor,39.5849648,-5.4130536,ES,Extremadura
364,Brozas,39.6111187,-6.7782723,ES,Extremadura
365,Castillo de Bayuela,40.0998825,-4.6851982,ES,Castile-La Mancha
366,Tembleque,39.6970824,-3.5020102,ES,Castile-La Mancha
367,Arganda del Rey,40.3007708,-3.4380688,ES,Community of Madrid
368,Navahermosa,39.6334281,-4.4691896,ES,Castile-La Mancha
369,Alpedrete,40.6599005,-4.0251223,ES,Community of Madrid
370,Cebreros,40.4551504,-4.4651595,ES,Castile and León
371,Mora,39.683248,-3.7729231,ES,Castile-La Mancha
372,Tielmes,40.2465011,-3.3136206,ES,Community of Madrid
373,Valverde del Fresno,40.2241479,-6.8781742,ES,Extremadura
374,Guijo de Granadilla,40.1937514,-6.163317,ES,Extremadura
375,Cañaveral,39.7897226,-6.3933113,ES,Extremadura
376,Pantano de El Vado,41.0012738,-3.2972761,ES,Castile-La Mancha
377,Garganta la Olla,40.1112953,-5.7760724,ES,Extremadura
378,Candeleda,40.1557248,-5.2409617,ES,Castile and León
379,Alcalá de Henares,40.4818396,-3.3644973,ES,Community of Madrid
380,Aliseda,39.4224611,-6.6918971,ES,Extremadura
381,Piornal,40.1177645,-5.8485639,ES,Extremadura
382,Trujillo,39.4605657,-5.8816626,ES,Extremadura
383,Torrecilla de los Ángeles,40.2480674,-6.4183979,ES,Extremadura
384,Rascafría,40.9038871,-3.8802853,ES,Community of Madrid
385,Hervás,40.2738554,-5.8587431,ES,Extremadura
386,Serradilla,39.8294906,-6.1399404,ES,Extremadura
387,Rozas de Puerto Real,40.3098351,-4.4912111,ES,Community of Madrid
388,Madrigal de la Vera,40.1466193,-5.3673231,ES,Extremadura
389,Zarza la Mayor,39.87819065,-6.861739797362906,ES,Extremadura
390,Oropesa,39.9175002,-5.1747285,ES,Castile-La Mancha
391,Nuñomoral,40.4091367,-6.2445107,ES,Extremadura
392,Mandayona,40.9565572,-2.7497263,ES,Castile-La Mancha
393,Montehermoso,40.0883757,-6.3495966,ES,Extremadura
394,Jaraicejo,39.6669756,-5.8135394,ES,Extremadura
395,Tornavacas,40.2556866,-5.6885137,ES,Extremadura
