,SO2,NO,NO2,O3,VEL,DIR,TEM,HUM,PRE,RAD,LLU,PM10,date,estacion,hora
597,0.97,0.14,1.3,70.87,1.98,115.26,12.57,100.0,965.0,18.73,0.0,0.0,2024-11-04 00:10:00,14,07:00
598,0.98,0.14,1.27,67.87,2.51,106.83,12.84,100.0,965.0,25.73,0.0,0.0,2024-11-04 00:10:00,14,07:10
599,1.08,0.16,1.51,66.35,2.89,96.64,13.02,100.0,965.0,30.22,0.0,0.0,2024-11-04 00:10:00,14,07:20
600,0.98,0.16,1.4,69.29,2.4,94.96,13.61,100.0,965.0,43.84,0.0,0.0,2024-11-04 00:10:00,14,07:30
601,0.99,0.16,1.22,69.75,1.58,112.47,13.66,100.0,965.0,59.68,0.0,0.0,2024-11-04 00:10:00,14,07:40
602,0.9,0.17,1.06,70.22,2.45,94.94,14.34,100.0,965.0,90.35,0.0,0.0,2024-11-04 00:10:00,14,07:50
603,1.19,0.17,1.0,73.66,2.67,80.83,15.15,100.0,965.12,143.36,0.0,0.0,2024-11-04 00:10:00,14,08:00
604,1.12,0.16,0.85,78.85,3.99,63.33,15.41,97.33,965.37,101.02,0.2,0.0,2024-11-04 00:10:00,14,08:10
605,1.06,0.16,0.85,78.28,3.8,64.33,15.41,94.14,965.95,198.16,0.0,0.0,2024-11-04 00:10:00,14,08:20
606,1.06,0.18,0.84,75.05,5.21,67.38,15.37,92.42,966.0,244.75,0.0,0.0,2024-11-04 00:10:00,14,08:30
607,0.97,0.18,0.82,76.35,5.34,69.85,15.86,90.24,965.95,269.32,0.0,0.0,2024-11-04 00:10:00,14,08:40
608,0.87,0.17,0.87,75.71,5.28,69.89,16.0,88.46,965.99,254.66,0.0,0.0,2024-11-04 00:10:00,14,08:50
609,0.93,0.17,0.88,76.04,4.84,61.94,16.14,88.26,965.43,176.12,0.0,0.0,2024-11-04 00:10:00,14,09:00
610,0.84,0.16,0.95,73.4,4.12,59.65,15.99,89.75,965.21,101.65,0.0,0.0,2024-11-04 00:10:00,14,09:10
611,0.8,0.2,0.97,71.03,3.12,71.74,16.45,89.65,965.8,358.16,0.0,0.0,2024-11-04 00:10:00,14,09:20
612,0.98,0.22,0.99,69.83,2.97,56.65,17.13,86.62,965.97,351.57,0.0,0.0,2024-11-04 00:10:00,14,09:30
613,0.93,0.23,1.06,64.83,0.77,112.09,18.18,86.26,966.0,338.96,0.0,0.0,2024-11-04 00:10:00,14,09:40
614,0.81,0.19,0.96,65.21,0.63,101.23,18.37,86.67,966.0,183.49,0.0,0.0,2024-11-04 00:10:00,14,09:50
615,0.89,0.21,1.21,62.86,1.16,100.07,17.7,90.18,966.0,118.63,0.0,0.0,2024-11-04 00:10:00,14,10:00
616,1.03,0.17,0.98,60.73,1.1,60.86,17.19,90.54,966.0,145.01,0.0,0.0,2024-11-04 00:10:00,14,10:10
617,0.99,0.17,0.96,61.22,0.0,65.77,17.56,90.89,966.0,149.05,0.0,0.0,2024-11-04 00:10:00,14,10:20
618,1.05,0.18,0.99,57.0,0.49,58.22,17.23,93.41,966.0,160.66,0.0,0.0,2024-11-04 00:10:00,14,10:30
619,1.12,0.18,1.01,59.4,1.11,46.13,17.01,97.14,966.0,205.66,0.0,0.0,2024-11-04 00:10:00,14,10:40
620,1.07,0.2,0.91,60.4,2.35,42.07,17.3,97.19,965.57,442.32,0.0,0.0,2024-11-04 00:10:00,14,10:50
621,0.96,0.19,0.86,66.57,2.17,42.09,17.77,91.09,965.0,291.88,0.0,0.0,2024-11-04 00:10:00,14,11:00
622,0.84,0.18,0.82,64.92,1.43,42.0,17.99,91.41,965.0,227.65,0.0,0.0,2024-11-04 00:10:00,14,11:10
623,0.78,0.17,0.84,63.7,1.85,57.85,17.98,91.46,965.0,198.54,0.0,0.0,2024-11-04 00:10:00,14,11:20
624,0.91,0.15,0.76,72.28,1.35,91.77,18.6,86.1,965.0,234.3,0.0,0.0,2024-11-04 00:10:00,14,11:30
625,1.0,0.18,0.8,67.29,0.5,144.41,19.59,85.07,965.0,458.18,0.0,0.0,2024-11-04 00:10:00,14,11:40
626,0.96,0.17,0.73,70.29,1.02,105.62,20.31,78.63,965.0,351.8,0.0,0.0,2024-11-04 00:10:00,14,11:50
627,1.08,0.16,0.76,69.55,2.45,69.54,19.4,79.18,965.0,387.08,0.0,0.0,2024-11-04 00:10:00,14,12:00
628,1.19,0.18,0.9,66.61,2.11,68.35,19.13,82.01,965.0,267.3,0.0,0.0,2024-11-04 00:10:00,14,12:10
629,1.0,0.18,0.97,63.74,0.98,88.74,18.94,84.06,965.0,214.43,0.0,0.0,2024-11-04 00:10:00,14,12:20
630,0.99,0.18,0.94,65.83,0.08,122.07,19.47,81.03,965.0,243.86,0.0,0.0,2024-11-04 00:10:00,14,12:30
631,1.2,0.18,1.0,66.1,1.26,39.13,19.13,81.4,965.0,191.17,0.0,0.0,2024-11-04 00:10:00,14,12:40
632,1.14,0.18,1.11,65.52,2.27,23.74,18.75,83.06,965.0,214.61,0.0,0.0,2024-11-04 00:10:00,14,12:50
633,1.18,0.22,1.14,63.54,2.09,16.95,18.92,83.51,965.0,303.35,0.0,0.0,2024-11-04 00:10:00,14,13:00
634,1.05,0.2,1.05,66.09,1.39,23.95,19.47,81.94,964.37,286.61,0.0,0.0,2024-11-04 00:10:00,14,13:10
635,1.05,0.2,1.12,63.25,1.81,28.19,19.35,82.99,964.0,260.76,0.0,0.0,2024-11-04 00:10:00,14,13:20
636,1.02,0.19,0.92,67.13,0.34,36.67,20.94,77.48,964.03,340.71,0.0,0.0,2024-11-04 00:10:00,14,13:30
637,0.88,0.18,0.99,67.38,1.53,253.5,20.4,77.95,964.0,243.85,0.0,0.0,2024-11-04 00:10:00,14,13:40
638,1.09,0.15,0.89,69.65,0.78,161.38,20.04,78.92,964.0,140.42,0.0,0.0,2024-11-04 00:10:00,14,13:50
639,1.17,0.13,0.67,75.89,0.98,144.78,20.04,76.9,964.0,184.96,0.0,0.0,2024-11-04 00:10:00,14,14:00
640,1.08,0.14,0.68,78.75,2.11,137.59,19.77,76.47,964.0,169.96,0.0,0.0,2024-11-04 00:10:00,14,14:10
641,0.88,0.14,0.67,80.1,1.71,140.79,19.61,76.5,964.0,123.09,0.0,0.0,2024-11-04 00:10:00,14,14:20
642,0.94,0.15,0.72,79.81,1.9,142.22,19.57,77.28,964.0,150.27,0.0,0.0,2024-11-04 00:10:00,14,14:30
643,1.02,0.15,0.81,78.64,1.64,143.49,19.93,76.87,964.0,187.04,0.0,0.0,2024-11-04 00:10:00,14,14:40
644,1.01,0.16,1.0,78.57,1.77,153.43,19.78,76.66,964.0,188.72,0.0,0.0,2024-11-04 00:10:00,14,14:50
645,1.09,0.17,0.96,77.82,1.99,154.02,20.07,74.52,964.01,260.82,0.0,0.0,2024-11-04 00:10:00,14,15:00
646,1.25,0.15,1.07,79.68,1.83,146.26,20.1,73.56,964.07,176.07,0.0,0.0,2024-11-04 00:10:00,14,15:10
647,1.2,0.17,1.4,79.43,1.79,129.03,19.97,74.53,964.0,193.85,0.0,0.0,2024-11-04 00:10:00,14,15:20
648,1.28,0.18,1.52,77.18,1.89,120.72,19.83,75.16,964.0,131.02,0.0,0.0,2024-11-04 00:10:00,14,15:30
649,1.46,0.16,1.5,79.55,2.36,116.79,19.13,78.83,964.0,101.01,0.0,0.0,2024-11-04 00:10:00,14,15:40
650,1.31,0.15,1.44,76.47,2.35,117.66,19.0,80.27,964.0,81.2,0.0,0.0,2024-11-04 00:10:00,14,15:50
651,1.36,0.13,1.16,78.49,3.21,119.39,18.8,79.02,964.0,63.35,0.0,0.0,2024-11-04 00:10:00,14,16:00
652,1.33,0.14,1.11,81.32,2.75,126.58,18.62,80.63,964.0,57.61,0.0,0.0,2024-11-04 00:10:00,14,16:10
653,1.28,0.13,1.2,81.46,2.59,119.32,18.32,81.93,964.01,46.4,0.0,0.0,2024-11-04 00:10:00,14,16:20
654,1.24,0.13,1.31,74.03,2.56,110.45,17.98,84.57,964.0,32.69,0.0,0.0,2024-11-04 00:10:00,14,16:30
655,1.16,0.12,1.27,73.6,1.74,102.37,17.73,87.25,964.0,21.19,0.0,0.0,2024-11-04 00:10:00,14,16:40
656,1.06,0.12,1.26,73.58,1.89,112.04,17.47,89.15,964.01,12.35,0.0,0.0,2024-11-04 00:10:00,14,16:50
657,1.12,0.12,1.2,72.14,2.28,108.86,17.28,92.13,964.01,8.41,0.0,0.0,2024-11-04 00:10:00,14,17:00
658,1.12,0.11,1.17,72.92,2.56,107.33,17.19,93.64,964.15,7.46,0.0,0.0,2024-11-04 00:10:00,14,17:10
659,1.15,0.12,1.16,72.99,2.38,105.71,17.07,94.0,964.79,7.95,0.0,0.0,2024-11-04 00:10:00,14,17:20
660,1.11,0.12,1.22,72.02,1.94,101.34,16.95,94.54,964.95,8.0,0.0,0.0,2024-11-04 00:10:00,14,17:30
661,1.11,0.11,1.23,71.89,1.28,111.38,16.75,95.0,965.0,8.0,0.0,0.0,2024-11-04 00:10:00,14,17:40
662,1.09,0.12,1.23,70.46,1.11,102.86,16.62,95.82,965.0,8.0,0.0,0.0,2024-11-04 00:10:00,14,17:50
663,0.99,0.12,1.21,71.84,1.14,103.86,16.66,95.69,965.0,8.0,0.0,0.0,2024-11-04 00:10:00,14,18:00
664,1.0,0.11,1.2,72.66,0.42,90.43,16.58,95.86,965.0,8.02,0.0,0.0,2024-11-04 00:10:00,14,18:10
665,0.92,0.11,1.23,72.83,0.09,84.39,16.5,96.24,965.0,8.42,0.0,0.0,2024-11-04 00:10:00,14,18:20
666,1.16,0.11,1.35,67.84,0.0,38.81,16.23,97.18,965.0,8.04,0.0,0.0,2024-11-04 00:10:00,14,18:30
667,1.17,0.1,1.62,64.06,0.0,41.01,15.97,98.65,965.0,8.0,0.0,0.0,2024-11-04 00:10:00,14,18:40
668,1.17,0.11,1.65,60.77,0.0,58.08,15.83,99.58,965.0,8.0,0.0,0.0,2024-11-04 00:10:00,14,18:50
669,1.22,0.11,1.39,61.06,0.0,72.01,15.73,100.0,965.0,8.37,0.0,0.0,2024-11-04 00:10:00,14,19:00
670,1.24,0.11,1.27,60.5,0.03,64.95,15.81,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,19:10
671,1.12,0.11,1.6,54.33,0.0,103.21,15.6,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,19:20
672,1.09,0.1,1.52,50.22,0.0,124.96,15.12,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,19:30
673,1.11,0.11,1.5,54.21,0.0,125.0,15.07,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,19:40
674,1.1,0.11,1.45,55.08,0.0,110.96,15.15,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,19:50
675,1.13,0.11,1.19,65.69,0.0,327.77,15.37,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,20:00
676,0.93,0.11,1.29,50.0,0.0,327.0,15.16,100.0,965.0,8.38,0.0,0.0,2024-11-04 00:10:00,14,20:10
677,1.06,0.11,1.13,49.34,0.09,72.26,15.13,100.0,965.0,8.98,0.0,0.0,2024-11-04 00:10:00,14,20:20
678,1.03,0.11,1.17,53.77,0.19,128.87,14.95,100.0,965.0,8.92,0.0,0.0,2024-11-04 00:10:00,14,20:30
679,1.11,0.11,1.14,46.34,0.36,114.43,14.68,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,20:40
680,0.96,0.11,1.01,45.98,1.03,77.9,14.66,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,20:50
681,1.0,0.11,1.06,36.9,0.0,123.54,14.71,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,21:00
682,0.95,0.12,1.29,35.98,1.24,117.64,14.31,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,21:10
683,1.01,0.12,1.46,34.96,0.64,86.11,13.92,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,21:20
684,1.09,0.12,1.09,45.72,0.24,99.97,14.35,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,21:30
685,1.02,0.11,1.27,43.5,0.34,111.26,14.5,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,21:40
686,1.03,0.11,1.33,38.5,0.24,88.06,14.2,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,21:50
687,0.94,0.11,1.45,32.73,1.53,118.59,13.78,100.0,965.0,8.98,0.0,0.0,2024-11-04 00:10:00,14,22:00
688,0.85,0.11,1.74,35.68,0.86,96.55,13.73,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,22:10
689,0.88,0.11,1.17,48.74,0.24,82.13,14.26,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,22:20
690,0.86,0.1,1.07,50.2,0.0,69.0,14.41,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,22:30
691,0.86,0.1,1.34,35.44,0.09,105.38,13.74,100.0,965.0,8.84,0.0,0.0,2024-11-04 00:10:00,14,22:40
692,0.93,0.11,1.22,35.76,1.1,100.25,13.46,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,22:50
693,1.02,0.11,1.27,33.22,1.29,107.0,13.25,100.0,965.0,9.0,0.0,0.0,2024-11-04 00:10:00,14,23:00
694,,,,,,,,,,,,,2024-11-04 00:10:00,14,
695,0.6,0.02,0.51,86.52,3.15,147.03,20.68,100.0,1020.6,4.0,0.0,0.0,2024-11-04 00:10:00,6,00:10
696,0.6,0.02,0.49,86.93,3.19,149.17,20.69,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,00:20
697,0.55,0.03,0.5,87.73,3.2,150.21,20.72,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,00:30
698,0.57,0.04,0.51,87.33,3.24,151.32,20.66,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,00:40
699,0.5,0.03,0.51,86.74,3.15,148.62,20.56,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,00:50
700,0.54,0.01,0.52,87.73,3.18,152.14,20.67,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,01:00
701,0.46,0.01,0.52,86.24,3.18,151.72,20.64,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,01:10
702,0.6,0.02,0.48,87.3,3.23,155.64,20.57,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,01:20
703,0.55,0.02,0.49,85.72,3.14,149.78,20.68,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,01:30
704,0.53,0.03,0.49,85.96,3.21,151.87,20.81,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,01:40
705,0.56,0.02,0.49,85.76,3.22,158.57,20.84,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,01:50
706,0.46,0.01,0.51,86.13,3.15,155.75,20.81,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,02:00
707,0.54,0.03,0.5,86.53,3.17,154.87,20.69,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,02:10
708,0.6,0.03,0.5,85.42,3.12,150.04,20.58,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,02:20
709,0.54,0.03,0.5,86.42,3.08,142.01,20.53,100.0,1020.52,4.0,0.0,0.0,2024-11-04 00:10:00,6,02:30
710,0.48,0.04,0.49,84.93,3.11,145.29,20.44,100.0,1020.47,4.0,0.0,0.0,2024-11-04 00:10:00,6,02:40
711,0.53,0.04,0.5,85.53,3.08,143.15,20.44,100.0,1020.29,4.0,0.0,0.0,2024-11-04 00:10:00,6,02:50
712,0.61,0.02,0.49,84.49,3.15,151.07,20.44,100.0,1020.47,4.0,0.0,0.0,2024-11-04 00:10:00,6,03:00
713,0.58,0.03,0.5,83.88,3.11,147.88,20.48,100.0,1020.19,4.0,0.0,0.0,2024-11-04 00:10:00,6,03:10
714,0.52,0.02,0.47,84.05,3.05,143.07,20.56,100.0,1020.0,4.0,0.0,0.0,2024-11-04 00:10:00,6,03:20
715,0.54,0.01,0.48,83.36,3.1,151.16,20.6,100.0,1020.51,4.0,0.0,0.0,2024-11-04 00:10:00,6,03:30
716,0.6,0.03,0.5,85.05,3.22,163.25,20.7,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,03:40
717,0.6,0.03,0.47,85.13,3.34,177.37,20.81,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,03:50
718,0.52,0.02,0.47,86.28,3.37,184.12,20.89,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,04:00
719,0.52,0.02,0.5,86.11,3.28,175.9,20.93,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,04:10
720,0.61,0.11,3.0,82.86,3.18,285.21,20.92,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,04:20
721,0.61,0.02,0.66,85.91,3.08,157.97,20.79,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,04:30
722,0.54,0.01,0.54,84.89,2.99,146.92,20.62,100.0,1020.54,4.0,0.0,0.0,2024-11-04 00:10:00,6,04:40
723,0.55,0.03,0.52,84.53,3.09,158.86,20.55,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,04:50
724,0.56,0.03,0.48,84.05,3.0,149.93,20.58,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,05:00
725,0.51,0.03,0.64,82.16,3.04,145.55,20.68,100.0,1020.54,4.0,0.0,0.0,2024-11-04 00:10:00,6,05:10
726,0.42,0.03,0.55,81.81,3.11,147.63,20.65,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,05:20
727,0.54,0.02,0.69,81.2,3.05,137.14,20.66,100.0,1020.53,4.0,0.0,0.0,2024-11-04 00:10:00,6,05:30
728,0.46,0.04,0.6,83.07,3.09,136.87,20.68,100.0,1020.44,4.0,0.0,0.0,2024-11-04 00:10:00,6,05:40
729,0.49,0.03,0.61,83.28,3.1,139.52,20.61,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,05:50
730,0.59,0.05,0.8,84.1,3.14,142.21,20.66,100.0,1020.56,4.0,0.0,0.0,2024-11-04 00:10:00,6,06:00
731,0.51,0.04,0.71,83.73,3.12,140.1,20.52,100.0,1020.45,5.0,0.0,0.0,2024-11-04 00:10:00,6,06:10
732,0.41,0.04,0.44,84.11,3.09,137.92,20.45,100.0,1020.56,8.0,0.0,0.0,2024-11-04 00:10:00,6,06:20
733,0.31,0.04,0.52,82.08,3.13,142.41,20.44,100.0,1020.56,12.0,0.0,0.0,2024-11-04 00:10:00,6,06:30
734,0.5,0.05,0.46,82.46,3.12,145.73,20.55,100.0,1020.56,19.0,0.0,0.0,2024-11-04 00:10:00,6,06:40
735,0.61,0.02,0.53,82.81,3.08,140.88,20.61,100.0,1020.56,23.0,0.0,0.0,2024-11-04 00:10:00,6,06:50
736,0.49,0.05,0.6,80.78,3.02,130.58,20.73,100.0,1020.56,42.0,0.0,0.0,2024-11-04 00:10:00,6,07:00
737,0.38,0.03,0.65,80.91,3.12,130.41,20.99,100.0,1020.56,72.0,0.0,0.0,2024-11-04 00:10:00,6,07:10
738,0.37,0.03,0.55,80.81,3.12,131.35,21.15,100.0,1020.56,73.0,0.0,0.0,2024-11-04 00:10:00,6,07:20
739,0.53,0.03,0.58,82.18,3.26,133.33,21.45,100.0,1020.56,103.0,0.0,0.0,2024-11-04 00:10:00,6,07:30
740,0.58,0.05,0.54,82.03,3.07,128.46,21.51,100.0,1020.56,68.0,0.0,0.0,2024-11-04 00:10:00,6,07:40
741,0.51,0.02,0.58,81.44,3.27,139.21,21.35,100.0,1020.56,79.0,0.0,0.0,2024-11-04 00:10:00,6,07:50
742,0.5,0.02,0.51,81.68,3.31,142.48,21.42,100.0,1020.56,93.0,0.0,0.0,2024-11-04 00:10:00,6,08:00
743,0.47,0.03,0.43,82.43,3.67,143.56,21.83,100.0,1020.57,185.0,0.0,0.0,2024-11-04 00:10:00,6,08:10
744,0.43,0.04,0.45,81.25,3.61,142.58,22.27,100.0,1020.67,164.0,0.0,0.0,2024-11-04 00:10:00,6,08:20
745,0.51,0.0,0.52,83.55,3.99,144.63,22.29,100.0,1020.81,220.0,0.0,0.0,2024-11-04 00:10:00,6,08:30
746,0.5,0.04,0.64,79.6,4.04,148.5,22.73,100.0,1020.68,232.0,0.0,0.0,2024-11-04 00:10:00,6,08:40
747,0.47,0.04,0.6,82.52,4.0,147.09,22.78,100.0,1021.17,227.0,0.0,0.0,2024-11-04 00:10:00,6,08:50
748,0.46,0.03,0.49,81.55,4.0,148.41,22.79,100.0,1021.17,215.0,0.0,0.0,2024-11-04 00:10:00,6,09:00
749,0.45,0.03,0.47,80.84,3.9,152.88,22.82,100.0,1021.18,198.0,0.0,0.0,2024-11-04 00:10:00,6,09:10
750,0.31,0.03,0.42,82.86,4.23,150.33,22.84,100.0,1021.18,277.0,0.0,0.0,2024-11-04 00:10:00,6,09:20
751,0.32,0.03,0.46,81.79,4.12,149.69,23.08,100.0,1021.18,251.0,0.0,0.0,2024-11-04 00:10:00,6,09:30
752,0.25,0.06,0.48,82.51,4.29,144.83,23.02,100.0,1021.18,283.0,0.0,0.0,2024-11-04 00:10:00,6,09:40
753,0.21,0.24,2.08,81.55,4.54,149.21,23.05,99.98,1021.18,333.0,0.0,0.0,2024-11-04 00:10:00,6,09:50
754,0.44,0.18,0.59,83.39,4.61,152.52,22.83,99.8,1021.18,342.0,0.0,0.0,2024-11-04 00:10:00,6,10:00
755,0.3,0.05,0.47,81.06,4.05,159.26,22.82,99.3,1021.18,202.0,0.0,0.0,2024-11-04 00:10:00,6,10:10
756,0.19,0.02,0.47,82.65,4.07,161.1,22.73,99.9,1021.18,199.0,0.0,0.0,2024-11-04 00:10:00,6,10:20
757,0.13,0.02,0.45,81.71,4.46,159.28,22.73,99.89,1021.18,284.0,0.0,0.0,2024-11-04 00:10:00,6,10:30
758,0.11,0.04,0.44,80.75,4.83,157.67,22.96,99.8,1020.85,371.0,0.0,0.0,2024-11-04 00:10:00,6,10:40
759,0.27,0.04,0.45,82.99,4.72,149.41,23.33,99.14,1020.56,373.0,0.0,0.0,2024-11-04 00:10:00,6,10:50
760,0.26,0.18,0.94,78.09,4.75,146.72,23.84,96.55,1020.56,377.0,0.0,0.0,2024-11-04 00:10:00,6,11:00
761,0.25,0.04,0.45,82.16,4.8,144.5,23.91,95.64,1020.56,384.0,0.0,0.0,2024-11-04 00:10:00,6,11:10
762,0.4,0.03,0.4,82.83,4.34,144.89,24.1,94.14,1020.56,290.0,0.0,0.0,2024-11-04 00:10:00,6,11:20
763,0.32,0.02,0.4,78.09,5.0,147.29,23.87,96.37,1020.35,408.0,0.0,0.0,2024-11-04 00:10:00,6,11:30
764,0.21,0.04,0.42,79.86,4.84,148.37,24.07,94.11,1020.04,379.0,0.0,0.0,2024-11-04 00:10:00,6,11:40
765,0.15,0.02,0.43,80.95,4.82,150.15,23.65,94.65,1019.96,362.0,0.0,0.0,2024-11-04 00:10:00,6,11:50
766,0.13,0.03,0.36,77.29,5.16,155.3,23.4,96.93,1019.96,409.0,0.0,0.0,2024-11-04 00:10:00,6,12:00
767,0.22,0.03,0.39,78.59,5.07,148.35,23.94,95.13,1019.96,408.0,0.0,0.0,2024-11-04 00:10:00,6,12:10
768,0.22,0.04,0.37,80.97,4.91,144.94,24.19,92.66,1019.94,384.0,0.0,0.0,2024-11-04 00:10:00,6,12:20
769,0.09,0.03,0.4,76.17,4.8,145.04,24.12,92.83,1019.51,368.0,0.0,0.0,2024-11-04 00:10:00,6,12:30
770,0.16,0.04,0.44,79.2,4.5,146.98,24.05,92.8,1019.36,296.0,0.0,0.0,2024-11-04 00:10:00,6,12:40
771,0.15,0.05,0.51,81.61,4.14,153.2,23.77,94.51,1019.37,218.0,0.0,0.0,2024-11-04 00:10:00,6,12:50
772,0.16,0.03,0.62,78.99,4.77,155.61,23.27,97.71,1019.35,329.0,0.0,0.0,2024-11-04 00:10:00,6,13:00
773,0.19,0.06,0.61,79.22,4.23,153.52,23.21,98.42,1019.35,230.0,0.0,0.0,2024-11-04 00:10:00,6,13:10
774,0.3,0.03,0.54,81.48,4.27,151.48,23.19,98.56,1019.35,233.0,0.0,0.0,2024-11-04 00:10:00,6,13:20
775,0.15,0.04,0.44,75.29,4.02,148.06,23.08,99.86,1019.35,184.0,0.0,0.0,2024-11-04 00:10:00,6,13:30
776,0.22,0.04,0.59,82.17,4.07,150.33,22.91,100.0,1019.35,177.0,0.0,0.0,2024-11-04 00:10:00,6,13:40
777,0.28,0.05,0.68,85.02,4.01,142.51,22.72,100.0,1019.35,185.0,0.0,0.0,2024-11-04 00:10:00,6,13:50
778,0.23,0.02,0.65,81.93,3.84,140.51,22.76,100.0,1019.35,159.0,0.0,0.0,2024-11-04 00:10:00,6,14:00
779,0.39,0.04,0.63,85.64,3.8,141.23,22.51,100.0,1019.35,162.0,0.0,0.0,2024-11-04 00:10:00,6,14:10
780,0.47,0.04,0.56,81.45,4.02,140.32,22.62,100.0,1019.35,214.0,0.0,0.0,2024-11-04 00:10:00,6,14:20
781,0.41,0.02,0.49,79.66,3.74,141.37,22.76,100.0,1019.35,165.0,0.0,0.0,2024-11-04 00:10:00,6,14:30
782,0.41,0.03,0.43,81.08,3.6,146.37,22.67,100.0,1019.35,115.0,0.0,0.0,2024-11-04 00:10:00,6,14:40
783,0.41,0.03,0.45,80.91,3.49,140.87,22.27,100.0,1019.35,99.0,0.0,0.0,2024-11-04 00:10:00,6,14:50
784,0.41,0.03,0.41,82.99,3.45,142.81,22.17,100.0,1019.35,82.0,0.0,0.0,2024-11-04 00:10:00,6,15:00
785,0.45,0.02,0.44,79.96,3.51,139.89,22.02,100.0,1019.35,94.0,0.0,0.0,2024-11-04 00:10:00,6,15:10
786,0.61,0.03,0.45,83.31,3.3,140.78,21.82,100.0,1019.35,55.0,0.0,0.0,2024-11-04 00:10:00,6,15:20
787,0.5,0.02,0.47,81.98,3.32,141.94,21.6,100.0,1019.35,57.0,0.0,0.0,2024-11-04 00:10:00,6,15:30
788,0.41,0.01,0.44,82.23,3.32,143.37,21.54,100.0,1019.35,46.0,0.0,0.0,2024-11-04 00:10:00,6,15:40
789,0.52,0.03,0.45,83.25,3.3,142.32,21.43,100.0,1019.37,39.0,0.0,0.0,2024-11-04 00:10:00,6,15:50
790,0.67,0.02,0.43,82.67,3.27,139.31,21.24,100.0,1019.78,29.0,0.0,0.0,2024-11-04 00:10:00,6,16:00
791,0.6,0.06,0.43,81.84,3.18,136.12,21.07,100.0,1019.95,22.0,0.0,0.0,2024-11-04 00:10:00,6,16:10
792,0.62,0.02,0.48,83.04,3.13,135.85,20.95,100.0,1019.96,14.0,0.0,0.0,2024-11-04 00:10:00,6,16:20
793,0.67,0.03,0.45,83.16,3.13,135.96,20.89,100.0,1019.96,9.0,0.0,0.0,2024-11-04 00:10:00,6,16:30
794,0.58,0.05,0.43,84.49,3.16,140.82,20.83,100.0,1019.96,6.0,0.0,0.0,2024-11-04 00:10:00,6,16:40
795,0.42,0.03,0.47,85.59,3.13,141.48,20.86,100.0,1019.96,5.0,0.0,0.0,2024-11-04 00:10:00,6,16:50
796,0.31,0.02,0.49,85.52,3.18,141.42,20.8,100.0,1019.96,4.0,0.0,0.0,2024-11-04 00:10:00,6,17:00
797,0.48,0.04,0.44,85.76,3.15,140.58,20.73,100.0,1019.96,4.0,0.0,0.0,2024-11-04 00:10:00,6,17:10
