nombre_id,nombre
215,ALACANT/ALICANTE
216,"GIJÓN, CAMPUS"
217,ELGOIBAR
218,CABO VILÁN
219,CIEZA
220,"BARDENAS REALES, BASE AÉREA"
221,ÁVILA
222,CIUDAD REAL
223,LA MOLINA
224,MADRID AEROPUERTO
225,VALÈNCIA
226,CEUTA
227,LOJA
228,SAN SEBASTIÁN DE LA GOMERA
229,LUGO AEROPUERTO
230,ALICANTE-ELCHE AEROPUERTO
231,PONFERRADA
232,CUENCA
233,SEVILLA AEROPUERTO
234,IZAÑA
235,QUINTANAR DE LA ORDEN
236,PUERTO DE LEITARIEGOS
237,CÁCERES
238,CIUTADELLA
239,SINEU
240,"LLUCMAJOR, CAP BLANC"
241,SON SERVERA
242,ANDRATX - SANT ELM
243,PORT DE POLLENÇA
244,POLLENÇA
245,"PALMA, UNIVERSIDAD"
246,"CAMPOS, CAN SION"
247,BANYALBUFAR
248,MANACOR
249,LLUCMAJOR
250,"MURO, S'ALBUFERA"
251,"SON BONET, AEROPUERTO"
252,SANTANYÍ
253,"CALVIÀ, ES CAPDELLÀ"
254,PETRA
255,LA PUEBLA (SA CANOVA)
256,"CAMPOS, SALINES LLEVANT"
257,ARTÀ
258,"ESCORCA, SON TORRELLA"
259,ARTÀ-COLÒNIA DE SANT PERE
260,"SÓLLER, PUERTO"
261,"LA MOLA, MAÓ"
262,SANTA MARÍA DEL CAMÍ
263,BINISSALEM
264,ES MERCADAL
265,YAIZA
266,"CIUTADELLA, CALA GALDANA"
267,"LA GOMERA, AEROPUERTO"
268,TÍAS
269,"VALLEHERMOSO, ALTO IGUALERO  "
270,PUNTAGORDA
271,ARURE
272,ANTIGUA
273,LOMO DEL BALO
274,FORMENTERA
275,EIVISSA
276,SANT JOAN DE LABRITJA
277,HERMIGUA
278,TIJARAFE
279,AGULO
280,SANT ANTONI DE PORTMANY
281,HARÍA
282,ARICO
283,"TUINEJE,PUERTO GRAN TARAJAL"
284,LA OLIVA
285,FUENCALIENTE
286,ROQUE DE LOS MUCHACHOS
287,"VALLEHERMOSO, DAMA"
288,TINAJO
289,"LA OROTAVA, CAÑADAS TEIDE"
290,ADEJE
291,EL PASO
292,SAN ANDRÉS Y SAUCES
293,SAN JUAN DE LA RAMBLA
294,LA GRACIOSA
295,"MOGÁN, PUERTO RICO"
296,BALSARENY
297,VALLS
298,"TELDE, MELENARA"
299,TEROR
300,"EL PINAR, LA DEHESA"
301,TACORONTE
302,TEJEDA
303,LAS PALMAS DE G.C. (TAFIRA CMT)
304,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS"
305,"TELDE, CENTRO FORESTAL DORAMAS"
306,"FRONTERA, SABINOSA"
307,MOIÀ
